Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,LapSeconds,PersonalDelta,CumSeconds,Interval
BEA,51.0,0 days 00:01:32.476000,MEDIUM,21.0,10.0,0 days 02:11:00.733000,,False,92.476,15.894999999999996,7860.733,3.712000000000444
BEA,52.0,0 days 00:01:38.186000,MEDIUM,22.0,10.0,0 days 02:12:38.919000,,False,98.186,5.710000000000008,7958.919,3.9219999999995707
BEA,53.0,0 days 00:01:18.029000,MEDIUM,23.0,10.0,0 days 02:13:56.948000,,False,78.029,-20.15700000000001,8036.948,4.189000000000306
BEA,54.0,0 days 00:01:16.912000,MEDIUM,24.0,10.0,0 days 02:15:13.860000,,False,76.912,-1.1169999999999902,8113.86,4.336999999999534
BEA,55.0,0 days 00:01:16.488000,MEDIUM,25.0,10.0,0 days 02:16:30.348000,,False,76.488,-0.4240000000000066,8190.348,3.970999999999549
BEA,56.0,0 days 00:01:16.293000,MEDIUM,26.0,10.0,0 days 02:17:46.641000,,False,76.293,-0.19499999999999318,8266.641,4.172999999998865
BEA,57.0,0 days 00:01:16.270000,MEDIUM,27.0,10.0,0 days 02:19:02.911000,,False,76.27,-0.023000000000010346,8342.911,4.123999999999796
BEA,58.0,0 days 00:01:17.322000,MEDIUM,28.0,10.0,0 days 02:20:20.233000,,False,77.322,1.0520000000000067,8420.233,4.201999999999316
BEA,59.0,0 days 00:01:16.750000,MEDIUM,29.0,10.0,0 days 02:21:36.983000,,False,76.75,-0.5720000000000027,8496.983,4.621000000001004
BEA,60.0,0 days 00:01:16.503000,MEDIUM,30.0,10.0,0 days 02:22:53.486000,,False,76.503,-0.2469999999999999,8573.486,5.0900000000001455
BEA,61.0,0 days 00:01:16.572000,MEDIUM,31.0,10.0,0 days 02:24:10.058000,,False,76.572,0.06900000000000261,8650.058,4.222000000001572
BEA,62.0,0 days 00:01:16.663000,MEDIUM,32.0,10.0,0 days 02:25:26.721000,,False,76.663,0.09099999999999397,8726.721,4.3879999999990105
BEA,63.0,0 days 00:01:16.376000,MEDIUM,33.0,10.0,0 days 02:26:43.097000,,False,76.376,-0.28699999999999193,8803.097,4.390999999999622
BEA,64.0,0 days 00:01:16.002000,MEDIUM,34.0,10.0,0 days 02:27:59.099000,,False,76.002,-0.37400000000000944,8879.099,4.505000000001019
BEA,65.0,0 days 00:01:16.189000,MEDIUM,35.0,10.0,0 days 02:29:15.288000,,False,76.189,0.1869999999999976,8955.288,4.842000000000553
BEA,66.0,0 days 00:01:16.015000,MEDIUM,36.0,10.0,0 days 02:30:31.303000,,False,76.015,-0.17399999999999238,9031.303,1.4470000000001164
BEA,67.0,0 days 00:01:16.048000,MEDIUM,37.0,10.0,0 days 02:31:47.351000,,False,76.048,0.03300000000000125,9107.351,1.0349999999998545
BOR,1.0,0 days 00:01:35.549000,INTERMEDIATE,1.0,13.0,0 days 01:04:08.093000,,False,95.549,,3848.093,0.1069999999999709
BOR,2.0,0 days 00:01:47.354000,INTERMEDIATE,2.0,20.0,0 days 01:05:55.447000,0 days 01:05:28.994000,True,107.354,11.804999999999993,3955.447,2.3299999999999272
BOR,3.0,0 days 00:01:27.141000,SOFT,1.0,19.0,0 days 01:07:22.588000,,False,87.141,-20.212999999999994,4042.588,3.0850000000000364
BOR,4.0,0 days 00:01:21.219000,SOFT,2.0,19.0,0 days 01:08:43.807000,,False,81.219,-5.922000000000011,4123.807,4.483000000000175
BOR,5.0,0 days 00:01:19.840000,SOFT,3.0,19.0,0 days 01:10:03.647000,,False,79.84,-1.3789999999999907,4203.647,5.717999999999847
BOR,6.0,0 days 00:01:19.308000,SOFT,4.0,19.0,0 days 01:11:22.955000,,False,79.308,-0.5319999999999965,4282.955,5.377999999999702
