Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,TrackStatus,LapSeconds,PersonalDelta,CumSeconds,Interval
ALO,53.0,0 days 00:01:19.985000,SOFT,50.0,15.0,0 days 02:06:22.831000,,False,1,79.985,0.45699999999999363,7582.831,1.8410000000003492
ALO,54.0,0 days 00:01:19.720000,SOFT,51.0,15.0,0 days 02:07:42.551000,,False,1,79.72,-0.26500000000000057,7662.551,1.8830000000007203
ALO,55.0,0 days 00:01:20.968000,SOFT,52.0,15.0,0 days 02:09:03.519000,,False,1,80.968,1.2480000000000047,7743.519,3.592999999999847
ALO,56.0,0 days 00:01:22.466000,SOFT,53.0,15.0,0 days 02:10:25.985000,,False,1,82.466,1.4979999999999905,7825.985,3.5659999999998035
ALO,57.0,0 days 00:01:19.628000,SOFT,54.0,15.0,0 days 02:11:45.613000,,False,1,79.628,-2.837999999999994,7905.613,2.6710000000002765
ALO,58.0,0 days 00:01:55.284000,SOFT,55.0,15.0,0 days 02:13:40.897000,0 days 02:13:15.246000,True,124,115.284,35.656000000000006,8020.897,14.70299999999952
ALO,59.0,0 days 00:01:53.313000,SOFT,1.0,15.0,0 days 02:15:34.210000,0 days 02:15:14.967000,True,4,113.313,-1.9710000000000036,8134.21,12.610999999999876
ALO,60.0,0 days 00:01:32.376000,SOFT,2.0,15.0,0 days 02:17:06.586000,,False,4,92.376,-20.936999999999998,8226.586,11.43199999999888
ALO,61.0,0 days 00:01:50.181000,SOFT,3.0,15.0,0 days 02:18:56.767000,,False,4,110.181,17.804999999999993,8336.767,3.587999999999738
ALO,62.0,0 days 00:01:33.687000,SOFT,4.0,15.0,0 days 02:20:30.454000,,False,4,93.687,-16.494,8430.454,4.235000000000582
ALO,63.0,0 days 00:01:23.982000,SOFT,5.0,15.0,0 days 02:21:54.436000,,False,4,83.982,-9.704999999999998,8514.436,3.5090000000000146
ALO,64.0,0 days 00:01:22.122000,SOFT,6.0,15.0,0 days 02:23:16.558000,,False,412,82.122,-1.8599999999999994,8596.558,3.967000000000553
ALO,65.0,0 days 00:01:55.551000,SOFT,7.0,14.0,0 days 02:25:12.109000,0 days 02:24:48.727000,True,24,115.551,33.429,8712.109,2.5609999999996944
ALO,66.0,0 days 00:01:46.295000,SOFT,8.0,14.0,0 days 02:26:58.404000,,False,4,106.295,-9.256,8818.404,3.3000000000010914
ALO,67.0,,SOFT,9.0,14.0,0 days 03:02:28.674000,0 days 02:28:44.621000,True,451,,,10948.674,3.1930000000011205
ALO,68.0,,SOFT,9.0,14.0,0 days 03:04:58.911000,0 days 03:03:54.777000,True,14,,,11098.911,3.1959999999999127
ALO,69.0,0 days 00:01:29.317000,SOFT,9.0,14.0,0 days 03:06:28.228000,,False,4,89.317,,11188.228,2.771999999999025
ALO,70.0,0 days 00:02:25.293000,SOFT,10.0,14.0,0 days 03:08:53.521000,,False,41,145.293,55.97600000000001,11333.521,0.16200000000026193
ALO,71.0,0 days 00:01:30.552000,SOFT,11.0,13.0,0 days 03:10:24.073000,,False,12,90.552,-54.741,11424.073,0.3720000000012078
ALO,72.0,0 days 00:01:20.898000,SOFT,12.0,13.0,0 days 03:11:44.971000,,False,1,80.898,-9.65400000000001,11504.971,0.3040000000000873
ALO,73.0,0 days 00:01:20.150000,SOFT,13.0,12.0,0 days 03:13:05.121000,,False,1,80.15,-0.7479999999999905,11585.121,0.5969999999997526
ALO,74.0,0 days 00:01:18.301000,SOFT,14.0,12.0,0 days 03:14:23.422000,,False,1,78.301,-1.8490000000000038,11663.422,1.3800000000010186
ALO,75.0,0 days 00:01:18.056000,SOFT,15.0,12.0,0 days 03:15:41.478000,,False,1,78.056,-0.24500000000000455,11741.478,2.0429999999996653
ALO,76.0,0 days 00:01:17.276000,SOFT,16.0,12.0,0 days 03:16:58.754000,,False,1,77.276,-0.7800000000000011,11818.754,2.202000000001135
ALO,77.0,0 days 00:01:17.120000,SOFT,17.0,12.0,0 days 03:18:15.874000,,False,1,77.12,-0.1559999999999917,11895.874,2.4279999999998836
ALO,78.0,0 days 00:01:17.140000,SOFT,18.0,12.0,0 days 03:19:33.014000,,False,1,77.14,0.01999999999999602,11973.014,2.67699999999968
ANT,1.0,0 days 00:01:22.525000,MEDIUM,1.0,1.0,0 days 00:56:42.391000,,False,12,82.525,,3402.391,0.0
ANT,2.0,0 days 00:01:17.653000,MEDIUM,2.0,1.0,0 days 00:58:00.044000,,False,1,77.653,-4.872,3480.044,0.0
ANT,3.0,0 days 00:01:16.996000,MEDIUM,3.0,1.0,0 days 00:59:17.040000,,False,1,76.996,-0.6570000000000107,3557.04,0.0
ANT,4.0,0 days 00:01:17.048000,MEDIUM,4.0,1.0,0 days 01:00:34.088000,,False,1,77.048,0.05200000000000671,3634.088,0.0
